workerid,proliferate.condition,chance,id,error
113,Main,96,9,
113,Main,64,25,
113,Main,78,33,
113,Main,0,53,
113,Main,5,3,
113,Main,45,12,
113,Main,41,32,
113,Main,56,18,
113,Main,43,27,
113,Main,11,21,
113,Main,66,28,
113,Main,90,45,
113,Main,19,52,
113,Main,100,50,
113,Main,62,40,
113,Main,95,22,
113,Main,47,23,
113,Main,47,7,
113,Main,96,46,
113,Main,63,38,
113,Main,100,15,
107,Main,7,37,
107,Main,74,33,
107,Main,100,46,
107,Main,4,2,
107,Main,32,11,
107,Main,11,4,
107,Main,0,10,
107,Main,100,20,
107,Main,0,31,
107,Main,33,24,
107,Main,4,32,
107,Main,100,9,
107,Main,55,7,
107,Main,0,44,
107,Main,2,21,
107,Main,0,52,
107,Main,10,41,
107,Main,23,43,
107,Main,0,29,
107,Main,0,26,
107,Main,23,38,
107,Main,0,30,
107,Main,0,19,
107,Main,55,39,
107,Main,38,23,
107,Main,64,14,
107,Main,100,49,
107,Main,60,6,
107,Main,100,50,
107,Main,53,1,
107,Main,100,48,
107,Main,7,34,
107,Main,82,17,
107,Main,87,12,
107,Main,75,40,
107,Main,7,51,
107,Main,41,18,
107,Main,83,16,
107,Main,100,5,
107,Main,25,35,
107,Main,100,22,
107,Main,3,28,
107,Main,100,15,
107,Main,25,36,
107,Main,39,13,
107,Main,33,3,
107,Main,54,42,
107,Main,23,8,
107,Main,100,45,
107,Main,7,47,
107,Main,1,25,
107,Main,0,53,
107,Main,6,27,
103,Main,100,26,
103,Main,63,38,
103,Main,5,1,
103,Main,15,31,
103,Main,1,43,
103,Main,100,9,
103,Main,99,20,
103,Main,90,40,
103,Main,68,3,
103,Main,100,46,
103,Main,33,22,
103,Main,87,23,
103,Main,100,33,
103,Main,86,30,
103,Main,59,14,
103,Main,21,8,
103,Main,15,28,
103,Main,2,51,
103,Main,10,10,
103,Main,1,7,
103,Main,1,34,
103,Main,59,24,
103,Main,0,29,
103,Main,54,12,
103,Main,100,45,
103,Main,54,41,
103,Main,100,49,
103,Main,21,25,
103,Main,1,27,
103,Main,98,48,
103,Main,0,44,
103,Main,0,53,
103,Main,100,5,
103,Main,0,52,
103,Main,0,36,
103,Main,0,18,
103,Main,4,32,
103,Main,0,13,
103,Main,100,17,
103,Main,5,37,
103,Main,100,50,
103,Main,16,42,
103,Main,92,19,
103,Main,38,35,
103,Main,0,2,
103,Main,1,6,
103,Main,63,4,
103,Main,100,15,
103,Main,0,21,
103,Main,5,47,
103,Main,75,39,
103,Main,75,11,
103,Main,0,16,
75,Main,51,41,
75,Main,51,30,
75,Main,51,42,
75,Main,100,49,
75,Main,51,16,
75,Main,51,23,
75,Main,0,51,
75,Main,100,47,
75,Main,54,24,
75,Main,51,13,
75,Main,70,10,
75,Main,52,6,
75,Main,98,26,
75,Main,41,1,
75,Main,58,52,
75,Main,78,3,
75,Main,21,5,
75,Main,95,15,
75,Main,100,46,
75,Main,80,31,
75,Main,89,37,
75,Main,90,20,
75,Main,55,21,
75,Main,46,19,
75,Main,59,48,
75,Main,45,17,
75,Main,72,27,
75,Main,75,50,
75,Main,75,35,
75,Main,37,28,
75,Main,66,18,
75,Main,79,38,
75,Main,32,43,
75,Main,74,29,
75,Main,80,8,
75,Main,35,12,
75,Main,78,22,
75,Main,78,11,
75,Main,23,36,
75,Main,80,32,
75,Main,76,34,
75,Main,58,14,
75,Main,76,40,
75,Main,90,45,
75,Main,94,4,
75,Main,0,33,
75,Main,76,44,
75,Main,82,2,
75,Main,7,9,
75,Main,99,25,
75,Main,84,53,
75,Main,89,7,
75,Main,30,39,
89,Main,0,4,
89,Main,61,41,
89,Main,68,52,
89,Main,100,46,
89,Main,0,47,
89,Main,56,48,
89,Main,65,21,
89,Main,0,44,
89,Main,56,27,
89,Main,62,3,
89,Main,41,42,
89,Main,66,7,
89,Main,100,49,
89,Main,53,28,
89,Main,54,10,
89,Main,0,53,
89,Main,48,34,
89,Main,58,20,
89,Main,47,43,
89,Main,100,50,
89,Main,55,31,
89,Main,100,45,
89,Main,0,23,
89,Main,9,32,
89,Main,51,1,
89,Main,57,37,
89,Main,38,36,
89,Main,64,26,
89,Main,38,29,
89,Main,47,6,
89,Main,54,16,
89,Main,4,19,
89,Main,100,15,
89,Main,100,40,
89,Main,64,5,
89,Main,58,39,
89,Main,55,35,
89,Main,0,8,
89,Main,57,38,
89,Main,0,51,
89,Main,55,30,
89,Main,0,33,
89,Main,54,18,
89,Main,56,9,
89,Main,89,17,
89,Main,57,14,
89,Main,53,25,
89,Main,57,12,
89,Main,75,22,
89,Main,85,11,
89,Main,0,13,
89,Main,43,2,
89,Main,61,24,
86,Main,100,20,
86,Main,81,40,
86,Main,100,50,
86,Main,19,24,
86,Main,17,45,
86,Main,79,31,
86,Main,100,49,
86,Main,0,23,
86,Main,0,37,
86,Main,0,36,
86,Main,100,5,
86,Main,0,21,
86,Main,69,19,
86,Main,0,12,
86,Main,0,39,
86,Main,0,43,
86,Main,100,46,
86,Main,0,53,
86,Main,0,2,
86,Main,78,33,
86,Main,0,32,
86,Main,0,14,
86,Main,0,6,
86,Main,0,30,
86,Main,100,22,
86,Main,0,35,
86,Main,100,9,
86,Main,0,42,
86,Main,57,7,
86,Main,0,8,
86,Main,0,3,
86,Main,0,29,
86,Main,100,4,
86,Main,0,34,
86,Main,72,18,
86,Main,0,38,
86,Main,75,25,
86,Main,78,16,
86,Main,60,27,
86,Main,0,17,
86,Main,100,15,
86,Main,71,11,
86,Main,100,48,
86,Main,56,41,
86,Main,66,28,
86,Main,0,10,
86,Main,0,44,
86,Main,0,51,
86,Main,0,1,
86,Main,12,52,
86,Main,68,26,
86,Main,7,47,
86,Main,0,13,
81,Main,0,53,
81,Main,0,51,
81,Main,100,49,
81,Main,100,9,
81,Main,9,29,
81,Main,98,22,
81,Main,22,44,
81,Main,0,17,
81,Main,100,45,
81,Main,4,30,
81,Main,100,48,
81,Main,0,38,
81,Main,26,14,
81,Main,31,33,
81,Main,0,2,
81,Main,0,7,
81,Main,0,1,
81,Main,32,26,
81,Main,33,6,
81,Main,0,36,
81,Main,0,34,
81,Main,0,27,
81,Main,100,50,
81,Main,0,8,
81,Main,0,16,
81,Main,0,39,
81,Main,0,35,
81,Main,0,19,
81,Main,20,10,
81,Main,40,12,
81,Main,25,43,
81,Main,42,24,
81,Main,24,42,
81,Main,0,32,
81,Main,67,20,
